{'Device Status': 'Connected', 'Name': 'Gregory Callahan', 'User Name': 'craig15', 'MAC Address': '6f:19:66:ec:88:bb', 'IP Address': '73.205.105.74', 'OS': 'iOS', 'Associated Access Point': 'AP1', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -45, 'Best RSSI (dBm)': -39, 'Uplink Data': 222888, 'Downlink Data': 678313, 'Avg. data rate': 531, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 15, 46, 28, 4485), 'First Detected At': datetime.datetime(2024, 2, 5, 1, 27, 38, 269590), 'Location': 'Dianaside', 'Sticky': True, 'Tag': 'city'}
{'Device Status': 'Failed', 'Name': 'Amy Beasley', 'User Name': 'ojohnson', 'MAC Address': 'cb:da:28:94:a6:11', 'IP Address': '100.224.221.2', 'OS': 'macOS', 'Associated Access Point': 'AP2', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -31, 'Best RSSI (dBm)': -83, 'Uplink Data': 738544, 'Downlink Data': 221060, 'Avg. data rate': 265, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 1, 11, 37, 7, 749285), 'First Detected At': datetime.datetime(2024, 2, 6, 4, 12, 35, 416955), 'Location': 'Angelastad', 'Sticky': True, 'Tag': 'adult'}
{'Device Status': 'Failed', 'Name': 'Marcus Powell', 'User Name': 'perrydylan', 'MAC Address': '22:8a:dc:e8:d5:4a', 'IP Address': '132.86.255.89', 'OS': 'macOS', 'Associated Access Point': 'AP3', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -92, 'Best RSSI (dBm)': -68, 'Uplink Data': 703278, 'Downlink Data': 854128, 'Avg. data rate': 23, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 17, 43, 42, 732305), 'First Detected At': datetime.datetime(2024, 2, 7, 8, 33, 27, 700155), 'Location': 'Johnland', 'Sticky': False, 'Tag': 'arrive'}
{'Device Status': 'Connected', 'Name': 'David Atkinson', 'User Name': 'brockjill', 'MAC Address': '28:1b:8f:e2:a5:c0', 'IP Address': '29.210.244.129', 'OS': 'iOS', 'Associated Access Point': 'AP3', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -47, 'Best RSSI (dBm)': -65, 'Uplink Data': 950458, 'Downlink Data': 796207, 'Avg. data rate': 56, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 16, 32, 40, 482078), 'First Detected At': datetime.datetime(2024, 1, 17, 23, 51, 36, 779992), 'Location': 'Lake Cynthiastad', 'Sticky': True, 'Tag': 'natural'}
{'Device Status': 'Connected', 'Name': 'Eric Lewis', 'User Name': 'micheal36', 'MAC Address': '8e:ae:d3:b4:19:c8', 'IP Address': '47.122.207.223', 'OS': 'Android', 'Associated Access Point': 'AP1', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -77, 'Best RSSI (dBm)': -55, 'Uplink Data': 354414, 'Downlink Data': 288883, 'Avg. data rate': 174, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 7, 9, 22, 28, 525848), 'First Detected At': datetime.datetime(2024, 1, 1, 2, 24, 57, 184796), 'Location': 'Brianfort', 'Sticky': True, 'Tag': 'responsibility'}
{'Device Status': 'Failed', 'Name': 'Michael Knight', 'User Name': 'gallen', 'MAC Address': 'c7:a0:8c:f3:ea:b2', 'IP Address': '100.41.92.46', 'OS': 'Android', 'Associated Access Point': 'AP3', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -77, 'Best RSSI (dBm)': -61, 'Uplink Data': 555871, 'Downlink Data': 859846, 'Avg. data rate': 66, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 4, 20, 22, 24, 688254), 'First Detected At': datetime.datetime(2024, 1, 12, 23, 53, 8, 571595), 'Location': 'Dennisberg', 'Sticky': False, 'Tag': 'eat'}
{'Device Status': 'Connected', 'Name': 'John Ford', 'User Name': 'peggy47', 'MAC Address': '0c:54:5e:11:8e:57', 'IP Address': '93.8.92.45', 'OS': 'macOS', 'Associated Access Point': 'AP2', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -95, 'Best RSSI (dBm)': -46, 'Uplink Data': 324459, 'Downlink Data': 982409, 'Avg. data rate': 697, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 7, 4, 44, 16, 448262), 'First Detected At': datetime.datetime(2024, 2, 5, 6, 37, 33, 912113), 'Location': 'North Benjamin', 'Sticky': False, 'Tag': 'situation'}
{'Device Status': 'Failed', 'Name': 'Laura Brown', 'User Name': 'mariawagner', 'MAC Address': '78:2e:e5:c6:c5:0a', 'IP Address': '71.127.224.223', 'OS': 'macOS', 'Associated Access Point': 'AP1', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -54, 'Best RSSI (dBm)': -43, 'Uplink Data': 849246, 'Downlink Data': 734766, 'Avg. data rate': 725, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 3, 15, 24, 51, 484957), 'First Detected At': datetime.datetime(2024, 1, 30, 15, 43, 9, 802436), 'Location': 'Lake Stephanie', 'Sticky': False, 'Tag': 'drive'}
{'Device Status': 'Connected', 'Name': 'Miss Nicole Sandoval', 'User Name': 'amanda33', 'MAC Address': 'f0:b0:ac:6c:14:20', 'IP Address': '145.21.116.23', 'OS': 'Android', 'Associated Access Point': 'AP3', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -81, 'Best RSSI (dBm)': -35, 'Uplink Data': 786500, 'Downlink Data': 809291, 'Avg. data rate': 574, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 2, 16, 8, 10, 312461), 'First Detected At': datetime.datetime(2024, 1, 17, 19, 48, 50, 974152), 'Location': 'Lake Curtis', 'Sticky': True, 'Tag': 'thought'}
{'Device Status': 'Failed', 'Name': 'Brittney Castro', 'User Name': 'maddenjasmine', 'MAC Address': '56:62:d5:a7:3c:68', 'IP Address': '170.6.176.44', 'OS': 'Linux', 'Associated Access Point': 'AP3', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -40, 'Best RSSI (dBm)': -100, 'Uplink Data': 972966, 'Downlink Data': 631563, 'Avg. data rate': 54, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 21, 30, 31, 511211), 'First Detected At': datetime.datetime(2024, 1, 5, 12, 25, 38, 878063), 'Location': 'Port Carrietown', 'Sticky': False, 'Tag': 'name'}
{'Device Status': 'Failed', 'Name': 'Jesse Williams', 'User Name': 'seansmith', 'MAC Address': 'b0:f2:32:0b:ef:55', 'IP Address': '103.225.113.125', 'OS': 'iOS', 'Associated Access Point': 'AP2', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -40, 'Best RSSI (dBm)': -41, 'Uplink Data': 833813, 'Downlink Data': 400984, 'Avg. data rate': 1, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 2, 17, 54, 53, 724770), 'First Detected At': datetime.datetime(2024, 1, 29, 9, 0, 26, 717779), 'Location': 'North Cynthiafurt', 'Sticky': False, 'Tag': 'party'}
{'Device Status': 'Failed', 'Name': 'Brandi Jackson', 'User Name': 'williamsonkathy', 'MAC Address': 'ae:d3:31:72:31:26', 'IP Address': '92.249.167.134', 'OS': 'Linux', 'Associated Access Point': 'AP1', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -84, 'Best RSSI (dBm)': -82, 'Uplink Data': 711716, 'Downlink Data': 220312, 'Avg. data rate': 940, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 5, 11, 5, 55, 253258), 'First Detected At': datetime.datetime(2024, 1, 8, 5, 49, 28, 279481), 'Location': 'South Dianetown', 'Sticky': False, 'Tag': 'purpose'}
{'Device Status': 'Failed', 'Name': 'Danielle Walker', 'User Name': 'ulee', 'MAC Address': 'a1:2a:0f:a9:a3:3c', 'IP Address': '59.227.43.228', 'OS': 'Windows', 'Associated Access Point': 'AP3', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -47, 'Best RSSI (dBm)': -99, 'Uplink Data': 120400, 'Downlink Data': 561292, 'Avg. data rate': 260, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 1, 18, 19, 674208), 'First Detected At': datetime.datetime(2024, 1, 3, 23, 33, 10, 610730), 'Location': 'Port Michaelmouth', 'Sticky': True, 'Tag': 'its'}
{'Device Status': 'Connected', 'Name': 'Elizabeth Collins', 'User Name': 'cfox', 'MAC Address': 'c9:75:4d:18:29:2b', 'IP Address': '205.61.151.105', 'OS': 'macOS', 'Associated Access Point': 'AP1', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -78, 'Best RSSI (dBm)': -31, 'Uplink Data': 552516, 'Downlink Data': 233181, 'Avg. data rate': 742, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 5, 17, 2, 35, 192596), 'First Detected At': datetime.datetime(2024, 1, 30, 9, 3, 50, 842027), 'Location': 'Toddhaven', 'Sticky': True, 'Tag': 'tree'}
{'Device Status': 'Failed', 'Name': 'Jennifer Spencer', 'User Name': 'martinezaaron', 'MAC Address': '68:4b:76:fe:25:8e', 'IP Address': '50.193.240.12', 'OS': 'Windows', 'Associated Access Point': 'AP3', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -56, 'Best RSSI (dBm)': -76, 'Uplink Data': 208707, 'Downlink Data': 274888, 'Avg. data rate': 91, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 1, 5, 19, 27, 248878), 'First Detected At': datetime.datetime(2024, 1, 12, 2, 32, 26, 589446), 'Location': 'East Kevin', 'Sticky': True, 'Tag': 'source'}
{'Device Status': 'Failed', 'Name': 'Jose Hudson', 'User Name': 'daniel54', 'MAC Address': '5a:2b:48:a0:06:ee', 'IP Address': '93.183.136.116', 'OS': 'iOS', 'Associated Access Point': 'AP2', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -84, 'Best RSSI (dBm)': -52, 'Uplink Data': 374342, 'Downlink Data': 665011, 'Avg. data rate': 458, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 0, 3, 10, 413519), 'First Detected At': datetime.datetime(2024, 1, 19, 6, 5, 15, 997342), 'Location': 'Walkerbury', 'Sticky': False, 'Tag': 'everything'}
{'Device Status': 'Connected', 'Name': 'Carlos Benson', 'User Name': 'justin42', 'MAC Address': 'd3:aa:e5:3d:1d:35', 'IP Address': '183.164.254.252', 'OS': 'Windows', 'Associated Access Point': 'AP3', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -52, 'Best RSSI (dBm)': -59, 'Uplink Data': 508308, 'Downlink Data': 330109, 'Avg. data rate': 737, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 1, 10, 10, 2, 189171), 'First Detected At': datetime.datetime(2024, 2, 1, 11, 28, 45, 15692), 'Location': 'Michaelfort', 'Sticky': True, 'Tag': 'for'}
{'Device Status': 'Failed', 'Name': 'Jessica Cole', 'User Name': 'deborah31', 'MAC Address': 'e0:44:0a:b8:10:a1', 'IP Address': '175.247.209.238', 'OS': 'iOS', 'Associated Access Point': 'AP2', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -52, 'Best RSSI (dBm)': -32, 'Uplink Data': 660443, 'Downlink Data': 610774, 'Avg. data rate': 32, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 3, 15, 32, 1, 87758), 'First Detected At': datetime.datetime(2024, 1, 21, 23, 1, 43, 199898), 'Location': 'Velezmouth', 'Sticky': False, 'Tag': 'expect'}
{'Device Status': 'Failed', 'Name': 'Lisa Farmer', 'User Name': 'tara52', 'MAC Address': 'b8:d3:b8:4a:26:2f', 'IP Address': '113.61.239.38', 'OS': 'macOS', 'Associated Access Point': 'AP2', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -77, 'Best RSSI (dBm)': -54, 'Uplink Data': 757762, 'Downlink Data': 824708, 'Avg. data rate': 168, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 0, 39, 54, 617803), 'First Detected At': datetime.datetime(2024, 1, 19, 3, 23, 26, 70573), 'Location': 'South Dwayne', 'Sticky': False, 'Tag': 'place'}
{'Device Status': 'Failed', 'Name': 'Courtney Green', 'User Name': 'psmith', 'MAC Address': 'c2:d1:2a:e8:8c:89', 'IP Address': '84.195.171.172', 'OS': 'Windows', 'Associated Access Point': 'AP1', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -98, 'Best RSSI (dBm)': -33, 'Uplink Data': 119653, 'Downlink Data': 597518, 'Avg. data rate': 419, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 22, 49, 22, 691071), 'First Detected At': datetime.datetime(2024, 1, 31, 5, 26, 27, 171997), 'Location': 'Terryburgh', 'Sticky': True, 'Tag': 'item'}
{'Device Status': 'Failed', 'Name': 'Andrea Curry', 'User Name': 'seth06', 'MAC Address': '0d:4f:37:43:5a:9e', 'IP Address': '70.184.103.21', 'OS': 'Linux', 'Associated Access Point': 'AP3', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -46, 'Best RSSI (dBm)': -47, 'Uplink Data': 353432, 'Downlink Data': 626304, 'Avg. data rate': 185, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 5, 0, 41, 47, 364477), 'First Detected At': datetime.datetime(2024, 1, 15, 7, 50, 37, 423097), 'Location': 'South Mark', 'Sticky': False, 'Tag': 'friend'}
{'Device Status': 'Connected', 'Name': 'Mr. James Singh MD', 'User Name': 'wooddaniel', 'MAC Address': '66:85:d3:a0:c3:45', 'IP Address': '208.168.194.129', 'OS': 'macOS', 'Associated Access Point': 'AP3', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -100, 'Best RSSI (dBm)': -31, 'Uplink Data': 26677, 'Downlink Data': 365091, 'Avg. data rate': 628, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 3, 9, 26, 23, 311239), 'First Detected At': datetime.datetime(2024, 1, 16, 23, 46, 41, 20884), 'Location': 'Armstrongtown', 'Sticky': True, 'Tag': 'now'}
{'Device Status': 'Connected', 'Name': 'Clarence Reeves', 'User Name': 'yualbert', 'MAC Address': '67:42:18:eb:2f:09', 'IP Address': '9.230.198.102', 'OS': 'Linux', 'Associated Access Point': 'AP3', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -100, 'Best RSSI (dBm)': -91, 'Uplink Data': 365125, 'Downlink Data': 229721, 'Avg. data rate': 391, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 4, 22, 39, 1, 442343), 'First Detected At': datetime.datetime(2024, 2, 3, 10, 35, 12, 771677), 'Location': 'East Kenneth', 'Sticky': False, 'Tag': 'state'}
{'Device Status': 'Connected', 'Name': 'Paul Meyer', 'User Name': 'robertlee', 'MAC Address': '90:39:c3:4d:58:6c', 'IP Address': '15.98.3.234', 'OS': 'Android', 'Associated Access Point': 'AP1', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -65, 'Best RSSI (dBm)': -95, 'Uplink Data': 614107, 'Downlink Data': 199725, 'Avg. data rate': 660, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 4, 15, 26, 45, 819999), 'First Detected At': datetime.datetime(2024, 1, 7, 10, 38, 29, 696255), 'Location': 'West Shannonchester', 'Sticky': False, 'Tag': 'enough'}
{'Device Status': 'Connected', 'Name': 'Ashley Ruiz', 'User Name': 'wongtravis', 'MAC Address': 'f9:71:25:c1:9f:83', 'IP Address': '158.86.107.21', 'OS': 'Windows', 'Associated Access Point': 'AP3', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -77, 'Best RSSI (dBm)': -97, 'Uplink Data': 476342, 'Downlink Data': 705842, 'Avg. data rate': 457, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 7, 4, 51, 19, 180645), 'First Detected At': datetime.datetime(2024, 2, 6, 16, 11, 21, 345655), 'Location': 'Georgechester', 'Sticky': True, 'Tag': 'let'}
{'Device Status': 'Connected', 'Name': 'Brandi Carter', 'User Name': 'beardjose', 'MAC Address': '36:5e:40:ac:8c:28', 'IP Address': '64.154.28.63', 'OS': 'iOS', 'Associated Access Point': 'AP3', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -56, 'Best RSSI (dBm)': -57, 'Uplink Data': 713591, 'Downlink Data': 378410, 'Avg. data rate': 35, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 5, 0, 12, 33, 952909), 'First Detected At': datetime.datetime(2024, 1, 5, 6, 23, 16, 890903), 'Location': 'Emilyborough', 'Sticky': False, 'Tag': 'mention'}
{'Device Status': 'Failed', 'Name': 'Julie Norris', 'User Name': 'james49', 'MAC Address': 'aa:5c:72:50:cd:54', 'IP Address': '153.135.35.175', 'OS': 'iOS', 'Associated Access Point': 'AP3', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -88, 'Best RSSI (dBm)': -74, 'Uplink Data': 323654, 'Downlink Data': 613245, 'Avg. data rate': 450, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 1, 18, 30, 3, 874794), 'First Detected At': datetime.datetime(2024, 1, 5, 10, 25, 34, 359655), 'Location': 'South Robin', 'Sticky': False, 'Tag': 'include'}
{'Device Status': 'Failed', 'Name': 'Tammy Robinson', 'User Name': 'jermaine13', 'MAC Address': '5c:29:b4:ad:02:a4', 'IP Address': '193.248.215.202', 'OS': 'macOS', 'Associated Access Point': 'AP1', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -37, 'Best RSSI (dBm)': -87, 'Uplink Data': 947106, 'Downlink Data': 809044, 'Avg. data rate': 318, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 1, 7, 28, 16, 43344), 'First Detected At': datetime.datetime(2024, 1, 17, 3, 21, 14, 766128), 'Location': 'South Jessicaland', 'Sticky': True, 'Tag': 'buy'}
{'Device Status': 'Failed', 'Name': 'Gregory Cameron', 'User Name': 'michaelwiley', 'MAC Address': 'ad:f0:a0:0a:a4:1c', 'IP Address': '221.96.1.190', 'OS': 'iOS', 'Associated Access Point': 'AP1', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -67, 'Best RSSI (dBm)': -86, 'Uplink Data': 496957, 'Downlink Data': 44994, 'Avg. data rate': 667, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 2, 2, 28, 39, 652647), 'First Detected At': datetime.datetime(2024, 1, 23, 0, 11, 57, 284328), 'Location': 'North Matthewberg', 'Sticky': False, 'Tag': 'pretty'}
{'Device Status': 'Connected', 'Name': 'Mark Evans', 'User Name': 'esmith', 'MAC Address': '0a:dd:7c:31:22:a9', 'IP Address': '167.140.153.211', 'OS': 'Windows', 'Associated Access Point': 'AP3', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -88, 'Best RSSI (dBm)': -35, 'Uplink Data': 586328, 'Downlink Data': 630160, 'Avg. data rate': 120, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 4, 16, 18, 22, 338739), 'First Detected At': datetime.datetime(2024, 1, 12, 5, 0, 59, 668203), 'Location': 'Allenchester', 'Sticky': False, 'Tag': 'while'}
{'Device Status': 'Connected', 'Name': 'Sara Morales', 'User Name': 'agraham', 'MAC Address': '69:55:42:74:c2:a8', 'IP Address': '56.78.36.49', 'OS': 'iOS', 'Associated Access Point': 'AP3', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -34, 'Best RSSI (dBm)': -48, 'Uplink Data': 314100, 'Downlink Data': 697326, 'Avg. data rate': 439, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 2, 19, 54, 30, 318723), 'First Detected At': datetime.datetime(2024, 1, 25, 23, 24, 59, 913642), 'Location': 'Cooktown', 'Sticky': True, 'Tag': 'mother'}
{'Device Status': 'Connected', 'Name': 'Patrick Gray', 'User Name': 'dominique19', 'MAC Address': 'c5:e3:39:ec:1e:2b', 'IP Address': '111.146.153.26', 'OS': 'Android', 'Associated Access Point': 'AP2', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -62, 'Best RSSI (dBm)': -66, 'Uplink Data': 243211, 'Downlink Data': 604859, 'Avg. data rate': 291, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 6, 54, 54, 774881), 'First Detected At': datetime.datetime(2024, 2, 3, 2, 57, 19, 29622), 'Location': 'Lake Janetton', 'Sticky': True, 'Tag': 'company'}
{'Device Status': 'Connected', 'Name': 'Matthew Martin', 'User Name': 'tinawoodard', 'MAC Address': 'a6:3a:05:c3:c4:c3', 'IP Address': '220.18.121.49', 'OS': 'Windows', 'Associated Access Point': 'AP2', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -83, 'Best RSSI (dBm)': -79, 'Uplink Data': 564934, 'Downlink Data': 851536, 'Avg. data rate': 283, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 7, 48, 5, 246848), 'First Detected At': datetime.datetime(2024, 1, 21, 0, 49, 6, 631765), 'Location': 'East Peter', 'Sticky': True, 'Tag': 'season'}
